CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
RAHIMTEXT,Textile,A,298.5,38.85,398.00,0.75,293.6,70.94,24.14,4.92,0,0
TUNGHAI,Textile,Z,9.1,15.24,7.40,1.23,1265.53,30.04,67.05,2.91,0,0
SAIHAMTEX,Textile,A,25.1,43.66,-29.19,-0.86,1104.63,33.7,32.49,33.81,0,0
HFL,Textile,A,20.8,42.04,49.52,0.42,1109.57,51.51,16.56,31.93,0,0
DSHGARME,Textile,A,169.2,22.01,393.49,0.43,274.35,58.06,37.2,5.36,0,0
DULAMIACOT,Textile,Z,57,-32.97,-44.53,-1.28,274.57,33.01,62.45,4.54,0,0
MONNOFABR,Textile,Z,27,2,#DIV/0!,0,199,0,0,0,0,0
TAMIJTEX,Textile,Z,83.3,2,#DIV/0!,0,199,0,0,0,0,0
SQUARETEXT,Textile,A,49,38.29,181.48,0.27,2171.52,61.83,12.77,22.39,3.11,0
ETL,Textile,A,12.9,15.52,64.50,0.2,2028.52,36.67,41.14,22.19,0,0
ENVOYTEX,Textile,A,36.1,42.57,22.15,1.63,1876.35,45.58,10.87,43.49,0.06,0
MITHUNKNIT,Textile,Z,15.4,21.75,-6.88,-2.24,523.91,17.2,67.27,15.39,0.14,0
HWAWELLTEX,Textile,A,45,32.52,19.48,2.31,759,50.83,39.06,10.05,0.06,0
UNIQUEHRL,Travel & Leisure,A,45.6,81.68,48.00,0.95,3143,52.23,14.84,32.07,0.86,0
SEAPEARL,Travel & Leisure,B,45,12.06,-500.00,-0.09,1406.5,46.83,23.64,29.53,0,0
PENINSULA,Travel & Leisure,A,24.4,32.87,488.00,0.05,1385.67,45.4,35.95,18.55,0.1,0
